comunidad,sexo,año,total
canarias,hombres,2021,1074180
melilla,mujeres,2021,42658
canarias,mujeres,2021,1098764
aragon,mujeres,2021,671013
baleares,hombres,2021,584853
asturias,mujeres,2021,529127
aragon,hombres,2021,655248
pais vasco,mujeres,2021,1137608
cantabria,hombres,2021,283378
pais vasco,hombres,2021,1076385
navarra,mujeres,2021,334072
navarra,hombres,2021,327465
region de murcia,mujeres,2021,758124
la rioja,hombres,2021,157823
region de murcia,hombres,2021,760362
madrid,mujeres,2021,3521551
madrid,hombres,2021,3229700
galicia,mujeres,2021,1398344
andalucia,mujeres,2021,4299068
la rioja,mujeres,2021,161973
galicia,hombres,2021,1297301
extremadura,mujeres,2021,535525
extremadura,hombres,2021,523976
valencia,mujeres,2021,2566744
ceuta,hombres,2021,42208
valencia,hombres,2021,2491394
cataluña,mujeres,2021,3943531
cataluña,hombres,2021,3819831
castilla la mancha,mujeres,2021,1023434
castilla la mancha,hombres,2021,1026128
ceuta,mujeres,2021,41309
castilla y leon,mujeres,2021,1210025
castilla y leon,hombres,2021,1173114
cantabria,mujeres,2021,301129
melilla,hombres,2021,43603
andalucia,hombres,2021,4173339
