año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2011,cuarto,palencia,castilla y leon,12
2011,cuarto,salamanca,castilla y leon,14
2011,cuarto,segovia,castilla y leon,22
2011,cuarto,soria,castilla y leon,17
2011,cuarto,valladolid,castilla y leon,96
2011,cuarto,zamora,castilla y leon,21
2011,cuarto,albacete,castilla la mancha,73
2011,cuarto,ciudad real,castilla la mancha,91
2011,cuarto,cuenca,castilla la mancha,23
2011,cuarto,guadalajara,castilla la mancha,51
2011,cuarto,toledo,castilla la mancha,157
2011,cuarto,barcelona,cataluña,952
2011,cuarto,gerona,cataluña,236
2011,cuarto,lerida,cataluña,55
2011,cuarto,tarragona,cataluña,201
2011,cuarto,alicante,comunidad valenciana,565
2011,cuarto,castellon,comunidad valenciana,115
2011,cuarto,valencia,comunidad valenciana,459
2011,cuarto,badajoz,extremadura,134
2011,cuarto,caceres,extremadura,81
2011,cuarto,coruña,galicia,113
2011,cuarto,lugo,galicia,35
2011,cuarto,orense,galicia,82
2011,cuarto,pontevedra,galicia,127
2011,cuarto,madrid,madrid,1323
2011,cuarto,murcia,murcia,336
2011,cuarto,navarra,navarra,72
2011,cuarto,alava,pais vasco,63
2011,cuarto,guipuzcoa,pais vasco,85
2011,cuarto,vizcaya,pais vasco,99
2011,cuarto,rioja,la rioja,50
2011,cuarto,cuenca,castilla la mancha,11
2011,cuarto,melilla,melilla,0
2012,primero,almeria,andalucia,80
2012,primero,cadiz,andalucia,331
2012,primero,cordoba,andalucia,106
2012,primero,granada,andalucia,91
2012,primero,huelva,andalucia,117
2012,primero,jaen,andalucia,100
2012,primero,malaga,andalucia,288
2012,primero,sevilla,andalucia,373
2012,primero,huesca,aragon,13
2012,primero,teruel,aragon,11
2012,primero,zaragoza,aragon,117
2012,primero,asturias,asturias,163
2012,primero,islas baleares,islas baleares,179
2012,primero,las palmas,canarias,268
2012,primero,santa cruz de tenerife,canarias,224
2012,primero,cantabria,cantabria,83
2012,primero,avila,castilla y leon,27
2012,primero,burgos,castilla y leon,46
2012,primero,leon,castilla y leon,110
2012,primero,palencia,castilla y leon,14
2012,primero,salamanca,castilla y leon,20
2012,primero,segovia,castilla y leon,19
2012,primero,soria,castilla y leon,13
2012,primero,valladolid,castilla y leon,100
2012,primero,zamora,castilla y leon,21
2012,primero,albacete,castilla la mancha,66
2012,primero,ciudad real,castilla la mancha,107
2012,primero,cuenca,castilla la mancha,41
2012,primero,guadalajara,castilla la mancha,46
2012,primero,toledo,castilla la mancha,141
2012,primero,barcelona,cataluña,1004
2012,primero,gerona,cataluña,204
2012,primero,lerida,cataluña,59
2012,primero,tarragona,cataluña,206
2012,primero,alicante,comunidad valenciana,437
2012,primero,castellon,comunidad valenciana,125
2012,primero,valencia,comunidad valenciana,456
2012,primero,badajoz,extremadura,124
2012,primero,caceres,extremadura,82
2012,primero,coruña,galicia,104
2012,primero,lugo,galicia,53
2012,primero,orense,galicia,80
2012,primero,pontevedra,galicia,136
2012,primero,madrid,madrid,1347
2012,primero,murcia,murcia,297
2012,primero,navarra,navarra,55
2012,primero,alava,pais vasco,27
2012,primero,guipuzcoa,pais vasco,61
2012,primero,vizcaya,pais vasco,80
2012,primero,rioja,la rioja,61
2012,primero,cuenca,castilla la mancha,30
2012,primero,melilla,melilla,0
2012,segundo,almeria,andalucia,111
2012,segundo,cadiz,andalucia,304
2012,segundo,cordoba,andalucia,105
2012,segundo,granada,andalucia,99
2012,segundo,huelva,andalucia,149
2012,segundo,jaen,andalucia,106
2012,segundo,malaga,andalucia,284
2012,segundo,sevilla,andalucia,409
2012,segundo,huesca,aragon,25
2012,segundo,teruel,aragon,22
2012,segundo,zaragoza,aragon,122
2012,segundo,asturias,asturias,195
2012,segundo,islas baleares,islas baleares,213
2012,segundo,las palmas,canarias,308
2012,segundo,santa cruz de tenerife,canarias,315
2012,segundo,cantabria,cantabria,95
2012,segundo,avila,castilla y leon,30
2012,segundo,burgos,castilla y leon,43
2012,segundo,leon,castilla y leon,148
2012,segundo,palencia,castilla y leon,20
2012,segundo,salamanca,castilla y leon,15
2012,segundo,segovia,castilla y leon,20
